CustomerId,Surname,Age,Gender,Marital Status,Education Level,Account Balance Trend,Loan History,Frequency of Deposits/Withdrawals,Average Transaction Value,Account Activity,Use of Savings Products,Use of Loan Products,Use of Digital Banking,Participation in Group Lending,Tenure,Number of Complaints Logged,Response Time to Complaints,Customer Support Interactions,Repayment Timeliness,Overdue Loan Frequency,Penalties Paid,Exited
SMB15565701,Abdullahi,18,Male,Single,Primary,Stable,Active,5,1406.9372150431573,Dormant,1,1,USSD,1,9,2,11,1,On-time,1,5458.300096542491,0
SMB15565702,Bello,68,Male,Single,Tertiary,Increasing,Defaulted,7,48532.8106418654,Active,0,1,USSD,0,5,1,3,2,On-time,4,2868.0643707120103,1
SMB15565703,Adesina,62,Male,Married,Tertiary,Increasing,Cleared,3,22153.445954164534,Dormant,0,1,App,0,2,3,13,0,Late,4,2501.341043370423,0
SMB15565704,Sule,21,Male,Single,Primary,Stable,Defaulted,5,48498.13110657144,Active,0,1,Both,0,4,2,2,1,On-time,4,47.66130481536401,0
SMB15565705,Nwachukwu,79,Male,Married,Tertiary,Decreasing,Cleared,7,7875.852468623479,Active,1,0,Both,1,0,4,11,1,On-time,2,3966.1034205540036,0
SMB15565706,Ibrahim,82,Female,Single,Tertiary,Decreasing,Active,2,29780.972193416816,Active,1,1,App,0,7,2,1,6,On-time,1,4851.029839390655,0
SMB15565707,Adesina,49,Male,Single,Tertiary,Stable,Active,8,10847.72760677074,Dormant,1,0,Both,1,5,4,2,9,On-time,0,7428.037456552986,0
SMB15565708,Adekunle,51,Male,Single,Tertiary,Stable,Defaulted,4,39713.63222120046,Active,1,1,USSD,1,1,1,6,5,Late,3,666.2696094429998,1
SMB15565709,Abdullahi,89,Female,Married,Primary,Stable,Active,2,39401.44644928779,Active,1,1,None,1,3,0,7,8,On-time,2,9239.894123987113,0
SMB15565710,Olawale,56,Female,Married,Secondary,Stable,Cleared,5,6517.750302926278,Active,0,0,None,0,3,2,14,4,On-time,1,2639.584682470415,0
SMB15565711,Chukwu,43,Male,Single,None,Stable,Active,5,45691.15819094307,Active,0,1,App,1,8,0,4,8,Late,3,3667.206901282478,0
SMB15565712,Abdullahi,51,Male,Single,None,Increasing,Cleared,4,10536.852712958007,Dormant,0,1,Both,0,8,0,10,9,Late,0,483.62465595261807,1
SMB15565713,Nwachukwu,71,Male,Married,Tertiary,Stable,Cleared,6,31035.889737878657,Active,0,0,None,1,4,2,0,8,On-time,3,6531.364108181234,1
SMB15565714,Nwachukwu,20,Female,Single,Primary,Stable,Active,8,49296.0473842975,Active,0,1,USSD,1,2,2,2,1,Late,4,7089.227973898668,0
SMB15565715,Ibrahim,67,Female,Married,Secondary,Decreasing,Active,4,44237.43020355183,Active,0,1,App,0,0,0,3,8,On-time,4,9287.912172897655,0
SMB15565716,Adekunle,29,Male,Married,Tertiary,Increasing,Cleared,3,47871.63249949728,Dormant,0,1,Both,1,5,3,9,2,On-time,2,3368.290033152288,0
SMB15565717,Bello,82,Female,Single,Tertiary,Decreasing,Cleared,6,17787.339789687852,Active,0,1,USSD,0,7,3,12,2,On-time,3,2573.6872987823344,0
SMB15565718,Ibrahim,71,Female,Single,Tertiary,Stable,Defaulted,4,6173.206468753705,Dormant,1,1,Both,1,0,2,12,8,On-time,4,7260.865035708707,0
SMB15565719,Ibrahim,22,Female,Divorced,Primary,Stable,Active,2,10228.996791183055,Dormant,1,0,USSD,0,0,0,11,6,On-time,2,7068.008884429279,0
SMB15565720,Chukwu,74,Female,Married,None,Increasing,Defaulted,3,25524.249858754076,Active,1,0,USSD,0,6,0,3,7,On-time,2,9371.240578533869,1
SMB15565721,Okonkwo,34,Male,Married,Primary,Stable,Cleared,1,39868.254235392786,Active,0,1,USSD,0,6,1,11,6,On-time,2,2053.1862423328394,0
SMB15565722,Adekunle,64,Male,Single,None,Stable,Active,9,8357.528565009885,Active,1,0,USSD,0,1,0,0,8,On-time,0,7052.926226945352,0
SMB15565723,Okafor,40,Male,Married,None,Increasing,Cleared,5,33326.8450807771,Dormant,0,1,None,1,2,3,9,7,On-time,4,668.6857718935424,0
SMB15565724,Ibrahim,31,Male,Single,Primary,Increasing,Active,3,16855.302597936083,Active,0,1,App,1,1,1,8,3,On-time,4,4803.681067572186,0
SMB15565725,Yusuf,83,Male,Married,Secondary,Stable,Active,4,17718.901547215522,Active,0,0,App,1,5,3,11,1,On-time,1,1193.9077726570836,0
SMB15565726,Onuoha,68,Female,Divorced,Secondary,Stable,Active,3,33433.968777738395,Dormant,1,0,App,0,7,4,9,4,On-time,0,6531.459880944719,0
SMB15565727,Okonkwo,55,Male,Single,Primary,Stable,Active,4,23882.971557127792,Active,1,1,USSD,0,7,2,14,1,On-time,4,6014.667616916858,0
SMB15565728,Okafor,81,Male,Single,Secondary,Stable,Active,6,40789.6313582737,Active,0,1,USSD,1,0,4,14,3,On-time,4,488.32933629728626,0
